DocumentId,Title,DocumentProvider,Filename,DocumentOriginalType,DocumentSizeInBytes,DocumentTypeAndConvertionCompletionStatus 1,DocumentTypeAndConvertionCompletionStatus 2,DocumentTypeAndConvertionCompletionStatus 3,DocumentTypeAndConvertionCompletionStatus 4,DocumentTypeAndConvertionCompletionStatus 5,HasBeenDeleted,EntryCreationDate
43CBE4C46DC444119BB4453B4EF2473B,James A Novel (Percival Everett) (Z-Library),Percival Everett,James A Novel (Percival Everett) (Z-Library).azw8,application/x-mobipocket-ebook,649036,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-08-17T00:00:47.454Z"
15DCD55913DF40F990711B36DCA2CC83,A Talent for Murder (Peter Swanson) (Z-Library),Peter Swanson,A Talent for Murder (Peter Swanson) (Z-Library).azw8,application/x-mobi8-ebook,707440,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-08-09T03:31:31.023Z"
9CF67106DC3A4A8F90A685EE6DAA2B9F,Bottoms Up and the Devil Laughs A Journey Through the Deep State (Kerry Howley) (Z-Library),Kerry Howley,Bottoms Up and the Devil Laughs A Journey Through the Deep State (Kerry Howley) (Z-Library).azw8,application/x-mobi8-ebook,621672,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-07-26T21:24:31.989Z"
15072C88D12543BE9BF38E06D831641A,Headshot A Novel (Rita Bullwinkel) (Z-Library),Rita Bullwinkel,Headshot A Novel (Rita Bullwinkel) (Z-Library).azw8,application/x-mobi8-ebook,877136,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-07-12T23:58:09.062Z"
28C62463866C4CC99233564ED847A1A5,Hansons Half-Marathon Method Run Your Best Half-Marathon the Hansons Way (Keith And Kevin Hanson) (Z-Library),Luke Humphrey,Hansons Half-Marathon Method Run Your Best Half-Marathon the Hansons Way (Keith And Kevin Hanson) (Z-Library).azw8,application/x-mobipocket-ebook,6933796,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-07-10T17:06:24.144Z"
2C4B5A07F41247DAAF830F1590836876,Outsider (Brett Popplewell) (Z-Library),Brett Popplewell,Outsider (Brett Popplewell) (Z-Library).azw8,application/x-mobipocket-ebook,1996012,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-07-02T19:38:27.111Z"
C36A14E8EC2F4079AD3377ED35C616AE,The Winner (Teddy Wayne) (Z-Library),Teddy Wayne,The Winner (Teddy Wayne) (Z-Library).azw8,application/x-mobi8-ebook,769664,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-07-01T17:49:41.861Z"
9AB16AE6EC24449DBFB06E5EB1561B67,Still Waters (Matt Goldman) (Z-Library),Matt Goldman,Still Waters (Matt Goldman) (Z-Library).azw8,application/x-mobi8-ebook,771192,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-06-19T19:34:42.879Z"
02A4171C317D47ABB064E2F24B3D5CFC,End of Story (A. J. Finn) (Z-Library),A. J. Finn,End of Story (A. J. Finn) (Z-Library).azw8,application/x-mobi8-ebook,898332,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-06-15T21:43:17.168Z"
096E674F00DC4192A0B7E99C3AB4A388,The Body in Question (Jill Ciment) (Z-Library),Jill Ciment,The Body in Question (Jill Ciment) (Z-Library).azw8,application/x-mobi8-ebook,253692,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2024-06-15T21:39:02.995Z"
N4LRBDHXLHWB6GQCAL74CNNNWOIWTPMJ,Nikki Erlick - The Measure,Nikki Erlick,Nikki Erlick - The Measure.azw3,application/x-mobi8-ebook,834620,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2022-11-15T21:45:27.626Z"
AQ3OABMEA2YURRI5PMD4TSHQZYWFTONB,Boundary Waters ( Cork OConnor 2 ) (William Kent Krueger) (z-lib.org),WILLIAM KENT KRUEGER,Boundary Waters ( Cork OConnor 2 ) (William Kent Krueger) (z-lib.org).azw3,application/x-mobi8-ebook,481156,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2022-10-28T04:44:45.939Z"
QSKJSE7YJTJXN5WGZEBZAJ3ZZEBKDEAX,Naive. Super (Erlend Loe) (z-lib.org),"Loe, Erlend",Naive. Super (Erlend Loe) (z-lib.org).azw3,application/x-mobi8-ebook,1029740,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2022-10-23T03:39:50.497Z"
2WHQ4RDHHZSUUDZRQBG52I7KS37FTVCT,Running Smart How Science Can Improve Your Endurance and Performance (van Sprundel Mariska etc.) (z-lib.org),Unknown,Running Smart How Science Can Improve Your Endurance and Performance (van Sprundel Mariska etc.) (z-lib.org).azw3,application/x-mobi8-ebook,500476,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2022-10-05T15:33:45.312Z"
3IPAKSAWQQL2Z24WQQ2L3VFTRTUOXTTK,The Bullet That Missed (The Thursday Murder Club) (Richard Osman) (z-lib.org),Unknown,The Bullet That Missed (The Thursday Murder Club) (Richard Osman) (z-lib.org).azw3,application/x-mobi8-ebook,1099932,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2022-10-04T16:04:24.993Z"
XRAYI6J7VLSRCIL3DZUNCYMN3OX45UWY,Notice From Amazon Cloud Drive,Amazon Cloud Drive,Notice From Amazon Cloud Drive.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,5777,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2016-04-18T01:00:34.680Z"
RN36AL7AALJBGBAYGO665TGOI27GGRGB,how to read a paper ch6,aosmond@library.wisc.edu,how to read a paper ch6,application/pdf,348340,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-03-01T19:47:14.357Z"
JEGXZOPIT2EJWWHTZCP3JXJOPRQQLSSY,wart 2002,a.j.osmond@gmail.com,wart 2002,application/pdf,74417,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-02-07T21:15:56.036Z"
EV5EFJMBWENBQ7VFTBFTKRM4A5BZL7NZ,wart 2007,a.j.osmond@gmail.com,wart 2007,application/pdf,99165,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-02-07T21:15:55.494Z"
KBATJPUQQ2XFBCFJHKBAW5IUC6PYHGKA,how to read a paper ch5,aosmond@library.wisc.edu,how to read a paper ch5,application/pdf,1212365,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-01-28T14:47:07.356Z"
LEIQRD7ZN2VQ7NQBQNGQTTOYJPHSHQA6,how to read a paper ch3,aosmond@library.wisc.edu,how to read a paper ch3,application/pdf,1319810,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-01-15T15:08:38.200Z"
K3XJ4D3ND5R56QFSTUBFO65FVWWV7XMM,how to read  a paper ch4,aosmond@library.wisc.edu,how to read  a paper ch4,application/pdf,724942,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-01-15T15:08:36.139Z"
YVUAYPCZJXSPE2KPDSELQ4RVNTNNSY3B,appendix,aosmond@library.wisc.edu,appendix,application/pdf,449244,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-01-15T15:08:36.081Z"
T4SA7WO2UVGTZB7BY2NQ2T2BFZARI6RQ,how to read a paper chapters 1-2,aosmond@library.wisc.edu,how to read a paper chapters 1-2,application/pdf,2375212,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2013-01-02T16:16:15.669Z"
KAE4QKKLTDKFT7HSFZNERZ6JWWPICMNO,acaKFF,aosmond@library.wisc.edu,acaKFF,application/pdf,226849,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2012-06-29T18:26:42.030Z"
4YOH237NH7DUN3KPHDXJNT5EDXAZW42M,resources-services-2010,Allan Barclay,resources-services-2010,application/pdf,944237,"documentOrigin = personal document","conversionStatus = finished","documentType = document","Not Available","Not Available","No","2012-01-24T18:07:21.275Z"
